resp_var_type;simtype;profile;nat_haz;n_trees;learning_rate;deviance.mean;deviance.se;correlation.mean;correlation.se
abs;LT;MP;A;1550;0.05;0.002569345018395595;1.4800658723678408e-4;0.966126131873501;0.0016634229900199717
abs;LT;MP;LED;1950;0.04;0.0027098232780933514;1.124322015152197e-4;0.965564836643369;0.0012746357742157038
abs;LT;IP;A;1200;0.03;0.0022570703131266166;1.5050004359237423e-4;0.9630304355687702;0.003142334927504911
abs;LT;IP;LED;1200;0.03;0.0019397315321043273;1.4719683066621324e-4;0.9687437339633371;0.0027186026257615013
abs;ST;MP;A;1800;0.1;0.0010798224998664935;2.3804619342933684e-5;0.9893150097231239;3.5072741328845446e-4
abs;ST;MP;LED;1750;0.1;0.0012353152646267715;3.297498420114626e-5;0.9874028684029592;5.760725963244424e-4
abs;ST;IP;A;1600;0.1;9.492305758126231e-4;2.91083980632835e-5;0.9865836135891377;4.635396442682027e-4
abs;ST;IP;LED;1450;0.1;7.483164375538806e-4;1.90072127534132e-5;0.9891631532591675;2.89913093969199e-4
diff;LT;MP;A;1250;0.06;0.0025457521437346332;1.560349681421947e-4;0.9200677601532754;0.004035426240096466
diff;LT;MP;LED;1900;0.04;0.002672239320066486;1.1308878718959783e-4;0.9304887778188625;0.002429013013082845
diff;LT;IP;A;1600;0.02;0.002221099550507989;1.3896700584739439e-4;0.9053232466912254;0.007944710080918486
diff;LT;IP;LED;1550;0.02;0.001918328895096504;1.390405971238236e-4;0.9347392426668844;0.005668793280441211
diff;ST;MP;A;3550;0.1;0.0010414929317795823;2.2884946360953862e-5;0.9445654563294611;0.0014806426086192137
diff;ST;MP;LED;3200;0.1;0.0012491763084213397;3.506325875515989e-5;0.9356726479863663;0.0018319530256925727
diff;ST;IP;A;3000;0.1;9.502750677409901e-4;3.5755147992925564e-5;0.9317563821377853;0.0026717671840079346
diff;ST;IP;LED;2250;0.1;7.458316220519389e-4;2.0818593041041326e-5;0.9325184230164416;0.001930241932663744
