resp_var_type;stratum;init2;profile;nat_haz;n_trees;learning_rate;deviance.mean;deviance.se;correlation.mean;correlation.se
abs;UM;ST: young;MP;A;1100;0.01;0.001572366239684738;1.9966862925643983e-4;0.8052587879414654;0.027168166896219877
abs;UM;ST: young;MP;LED;2550;0.005;0.0018594429744458831;2.86971677978405e-4;0.6991628625037963;0.040011345858383236
abs;UM;ST: young;IP;A;1400;0.008;0.0015716529873815777;2.7934019206525486e-4;0.7727193426213352;0.03637335956879578
abs;UM;ST: young;IP;LED;1250;0.007;0.0011793261722349007;2.2229287708700962e-4;0.7919228307850396;0.0391403412968268
abs;UM;ST: structured;MP;A;1600;0.01;0.002818450092471205;3.0953276575418793e-4;0.8417918247989645;0.01911208757802394
abs;UM;ST: structured;MP;LED;1900;0.005;0.0030528233201972347;1.7729988608065133e-4;0.6913167882782553;0.033193625448933346
abs;UM;ST: structured;IP;A;1550;0.009;0.0017077547835372504;2.3350817583996778e-4;0.7445740429881343;0.034383819366123884
abs;UM;ST: structured;IP;LED;1800;0.01;0.0014178827083022652;2.730116911732683e-4;0.7574631448864133;0.03193812919329625
abs;UM;ST: mature;MP;A;1650;0.01;0.0027814601913569163;2.5565072765879076e-4;0.6591358636642137;0.030354969253186873
abs;UM;ST: mature;MP;LED;1350;0.01;0.0023194690733826743;1.9151284159483158e-4;0.7416025571310343;0.02271987656398962
abs;UM;ST: mature;IP;A;1600;0.1;0.0016772572000382177;1.4489369640070365e-4;0.7636347557522489;0.02513647225474885
abs;UM;ST: mature;IP;LED;2250;0.007;0.0019321651191327497;1.269107720355104e-4;0.714355928329319;0.037546163210335784
abs;UM;LT;MP;A;1350;0.01;0.00584295167838482;5.059440899258194e-4;0.6720751788881556;0.04838586434946736
abs;UM;LT;MP;LED;1400;0.008;0.005629390703820987;4.985690312527489e-4;0.6536072910355566;0.05605029890918917
abs;UM;LT;IP;A;1200;0.003;0.0039991120349618095;4.801784776527501e-4;0.6258564006195035;0.04218873462991778
abs;UM;LT;IP;LED;1100;0.007;0.0033220596390233083;3.4416820749563537e-4;0.597815554535552;0.029832563674131195
abs;HM;ST: young;MP;A;2150;0.1;4.521176910900846e-4;4.9778463953471524e-5;0.9471408200512327;0.0057193576866752865
abs;HM;ST: young;MP;LED;1400;0.01;8.412427268134441e-4;2.7148926570564274e-4;0.9049071487300396;0.015345053009175505
abs;HM;ST: young;IP;A;1350;0.01;0.0021037050713218907;1.9101910808694056e-4;0.8358781064967455;0.01997498722563367
abs;HM;ST: young;IP;LED;1000;0.01;0.001818900972810508;1.4909461584148103e-4;0.831624019584558;0.02059218710340879
abs;HM;ST: structured;MP;A;1350;0.007;0.0010933898048702303;1.7384489047082087e-4;0.9403184183761725;0.010171667865322639
abs;HM;ST: structured;MP;LED;1600;0.008;0.001332936235123091;1.412305069191661e-4;0.9255229763854204;0.009332612382694385
abs;HM;ST: structured;IP;A;1850;0.03;0.0022001279627051674;2.1215006162589902e-4;0.757277353040823;0.022322953176754395
abs;HM;ST: structured;IP;LED;1700;0.01;0.0017664707972939065;2.454195679213707e-4;0.658455409929973;0.03955894877794713
abs;HM;ST: mature;MP;A;1250;0.02;8.41523199942148e-4;6.131819943106987e-5;0.9367255985457;0.005736476653042314
abs;HM;ST: mature;MP;LED;2200;0.1;0.001143254388179062;1.1461835061480208e-4;0.9232457181911714;0.006736085627341057
abs;HM;ST: mature;IP;A;1800;0.01;0.002554685624240242;3.225802669022087e-4;0.6159197363147599;0.05974300099639135
abs;HM;ST: mature;IP;LED;1150;0.01;0.002069339156988694;2.320024285531054e-4;0.5848240753279038;0.0310173692818806
abs;HM;LT;MP;A;1250;0.005;0.002296880292882101;1.8315036250771192e-4;0.8349996747560605;0.022036039983865423
abs;HM;LT;MP;LED;1300;0.008;0.002647563887000135;3.3452006439809514e-4;0.8424345514315102;0.02341584898427438
